Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n130,n130,end,79,180.0,4.0,0.4620071684587813,0.009715498146541629,1,0.003214088742021356,0,0.16520610191496268,509,0.2801462473623177
n131,n131,need,18,39.0,4.0,0.4119527005433046,0.00170779359988762,1,8.742771271131939E-4,0,0.3660130718954248,56,0.09573414977172182
n132,n132,seem,7,14.0,4.0,0.36126681614349776,0.0,1,3.4099484685390575E-4,0,1.0,21,0.039438621407501456
n133,n133,get,92,243.0,4.0,0.4716428832784486,0.016825147590262286,0,0.0042738589008601315,0,0.14381270903010032,602,0.32149400527038563
n134,n134,toetotoe,2,5.0,5.0,0.3477205287294308,9.139965996134922E-6,13,2.0772054231671413E-4,0,0.0,0,0.016056093114186383
n135,n135,agree,10,25.0,4.0,0.39710412815773255,0.0014262537581005517,13,6.497744454967799E-4,0,0.4,18,0.05845427501382645
n136,n136,Saw,94,210.0,4.0,0.4695810564663023,0.014875590123342606,1,0.0037284421286421167,0,0.1523678792038435,666,0.3247892412760026
n137,n137,tonight,74,208.0,4.0,0.4648395239812478,0.0072025322038763015,0,0.003443822385876713,0,0.22362088115512774,604,0.31896044647994154
n138,n138,Great,52,131.0,4.0,0.4541930937279775,0.0024248591131734642,1,0.002120743604730911,0,0.30015082956259426,398,0.2543240214297537
n139,n139,tension,9,18.0,4.0,0.38650674662668666,0.0,1,3.882580921653957E-4,0,1.0,36,0.055902541220808025
n140,n140,beginning,23,49.0,4.0,0.43110367892976587,2.1474601407021088E-4,1,8.712421636283133E-4,0,0.5731225296442688,145,0.15375556320979566
n141,n141,Good,36,80.0,4.0,0.43139223560910306,0.0015340797958236488,1,0.0015171969325790784,0,0.2777777777777778,175,0.13991863841519217
n142,n142,minute,9,18.0,4.0,0.38650674662668666,0.0,1,3.882580921653957E-4,0,1.0,36,0.055902541220808025
